,spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info,id,"link_info(json格式[{""navids"":""id;id"";""directions"":""dir;dir""}","{""navids"":""id;id"";""directions"":""dir;dir""}])","额外信息(json格式[{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""};{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""}])"
105,151012,K27+350,K27+350,云埔枢纽-安溪龙门收费站,0.0,2016-08-17 21:55:29,14,2016-08-17 21:54:13,,,,,,2,1:福建高速公路,1471442053000,0,、S30厦沙高速厦门段厦门往安溪方向K27+350处（过凤南收费站约14公里）正在养护施工，占用第二、应急车道，请途经车辆谨慎驾驶，提前减速。|,,,"118.074 ,24.8072",4,、S30厦沙高速厦门段厦门往安溪方向K27+350处（过凤南收费站约14公里）正在养护施工，占用第二、应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,151012,"[{""navids"":""95314235;19767309;19767308;85238874;85238878;14666823"";""directions"":""3;3;2;3;3;3""};{""navids"":""14666830;85238876;85238872;19767199;19767200;19767310"";""directions"":""2;2;2;2;2;2""}]","[{""id-name-alias-dir"":""19767308;厦沙高速公路;S30;2"";""url"":""http://map.sogou.com/#c=13143511;2834344;16&tip=匹配点距离13.155306037246596;1.3143511603808466E7;2834344.5978821553;事件点151012-S30|厦沙高速厦门段;1.3143525352540819E7;2834318.374827554""};{""id-name-alias-dir"":""19767199;厦沙高速公路;S30;2"";""url"":""http://map.sogou.com/#c=13143484;2834347;16&tip=匹配点距离39.83532875886341;1.314348489088468E7;2834347.068660695;事件点151012-S30|厦沙高速厦门段;1.3143525352540819E7;2834318.374827554""}]",
106,129947,K2864,K2864,南雅收费站-弓鱼枢纽,0.0,2016-06-17 15:25:44,14,2016-08-15 16:56:24,,,,,,2,1:福建高速公路,1471251384000,0,G25|长深高速,,,"118.334 ,27.0147",4,G25线长深高速建瓯段南平往建瓯方向K2864处（过小桥服务区约7公里），发生地质灾害，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,129947,"[{""navids"":""820620;825355;825356;12512061;12512062;820622;820624;820626"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""825297;820627;820625;820623;825358"";""directions"":""3;3;3;2;3""}]","[{""id-name-alias-dir"":""12512062;长深高速公路;浦南高速公路|G25;2"";""url"":""http://map.sogou.com/#c=13172399;3106145;16&tip=匹配点距离68.70263285040565;1.3172399441145845E7;3106145.896028252;事件点129947-G25|长深高速;1.317247021683709E7;3106124.2929922245""};{""id-name-alias-dir"":""820623;长深高速公路;浦南高速公路|G25|大水坑2号桥;2"";""url"":""http://map.sogou.com/#c=13172393;3106595;16&tip=匹配点距离353.2682655795591;1.3172393844609415E7;3106595.996518295;事件点129947-G25|长深高速;1.317247021683709E7;3106124.2929922245""}]",
107,150511,K62+300,K61+900,南靖丰田收费站-天宝枢纽,40.0,2016-08-12 09:04:55,14,2016-08-12 09:10:16,,,,,,2,1:福建高速公路,1470964216000,0,G76|厦蓉高速,,,"117.548 ,24.627",4,G76线厦蓉高速漳州段龙岩往漳州方向K62+300至K61+900处（过南靖丰田收费所约10公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,150511,"[{""navids"":""734746;733233;731638"";""directions"":""2;2;2""};{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]","[{""id-name-alias-dir"":""733233;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13083260;2812984;16&tip=匹配点距离5.549547650912002;1.3083260659918558E7;2812984.760203722;事件点150511-G76|厦蓉高速;1.3084988433376214E7;2812393.9697109642""};{""id-name-alias-dir"":""736298;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13083237;2813009;16&tip=匹配点距离19.46537948265445;1.3083237105815077E7;2813009.213883313;事件点150511-G76|厦蓉高速;1.3084988433376214E7;2812393.9697109642""}]",
108,134449,K61+500,K61+900,天宝枢纽-南靖丰田收费站,40.0,2016-08-04 13:02:47,14,2016-08-06 15:22:48,,,,,,2,1:福建高速公路,1470468168000,0,G76|厦蓉高速,,,"117.556 ,24.625",4,G76线厦蓉高速漳州段漳州往龙岩方向K61+500至K61+900处（距南靖丰田收费所约11公里）正在养护施工，占用超车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,134449,"[{""navids"":""734746;733233;731638"";""directions"":""2;2;2""};{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]","[{""id-name-alias-dir"":""733233;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13083260;2812984;16&tip=匹配点距离2.0223324859160683;1.3083260659918558E7;2812984.760203722;事件点134449-G76|厦蓉高速;1.3085880902201667E7;2812152.250813056""};{""id-name-alias-dir"":""736298;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13083237;2813009;16&tip=匹配点距离16.85452752382809;1.3083237105815077E7;2813009.213883313;事件点134449-G76|厦蓉高速;1.3085880902201667E7;2812152.250813056""}]",
109,133724,K80+400,K80+700,南靖丰田收费站-金山收费站,30.0,2016-07-27 08:19:32,14,2016-08-06 15:17:57,,,,,,2,1:福建高速公路,1470467877000,0,G76|厦蓉高速,,,"117.414 ,24.7128",4,G76线厦蓉高速漳州段漳州往龙岩方向K80+400至K80+700处（过南靖丰田收费所约8公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,133724,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]","[{""id-name-alias-dir"":""14666785;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13070399;2821424;16&tip=匹配点距离20.749622928990632;1.3070399930077448E7;2821424.216157269;事件点133724-G76|厦蓉高速;1.3070035616059735E7;2822809.4175842013""}]",
110,133722,K73+400,K73+600,南靖丰田收费站-金山收费站,20.0,2016-07-27 08:17:50,14,2016-08-06 15:15:50,,,,,,2,1:福建高速公路,1470467750000,0,G76|厦蓉高速,,,"117.45 ,24.6622",4,G76线厦蓉高速漳州段漳州往龙岩方向K73+400至K73+600处（过南靖丰田收费所约1公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,133722,"[{""navids"":""669739;669737;669735"";""directions"":""3;2;3""};{""navids"":""669736;669738;669740"";""directions"":""2;2;2""}]","[{""id-name-alias-dir"":""669737;厦蓉高速公路;漳龙高速公路|永丰溪2号大桥|G76;2"";""url"":""http://map.sogou.com/#c=13073956;2816641;16&tip=匹配点距离82.5318628815597;1.3073956144952688E7;2816641.8642259454;事件点133722-G76|厦蓉高速;1.30740478020413E7;2816649.4839482303""};{""id-name-alias-dir"":""669738;厦蓉高速公路;漳龙高速公路|永丰溪2号大桥|G76;2"";""url"":""http://map.sogou.com/#c=13073942;2816635;16&tip=匹配点距离97.4704788508092;1.3073942554391839E7;2816635.359230957;事件点133722-G76|厦蓉高速;1.30740478020413E7;2816649.4839482303""}]",
111,133263,K24+320,K24+320,永泰东收费站-永泰葛岭收费站,0.0,2016-07-21 14:25:42,14,2016-08-06 14:47:56,,,,,,2,1:福建高速公路,1470466076000,0,S35|S35线沈海复线,,,"117.44 ,24.4642",4,S35线沈海复线福永段仙游往福州方向K24+320（距葛岭收费所约3公里）正在养护施工，该路段车辆经青云山服务区转至主线正常通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,133263,"[{""navids"":""14943129;14943121;14943118;14943119;14943101;14943097;14943093"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""14943094;14943098;14943102;14943110;14943111;14943122;14943130"";""directions"":""2;2;2;2;2;2;2""}]","[{""id-name-alias-dir"":""14943119;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13072854;2792350;16&tip=匹配点距离21.697360508560873;1.307285451918226E7;2792350.0796246487;事件点133263-S35|S35线沈海复线;1.3072934321553927E7;2792546.242520746""};{""id-name-alias-dir"":""14943110;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13072861;2792319;16&tip=匹配点距离39.5249471777647;1.3072861817729907E7;2792319.7613249035;事件点133263-S35|S35线沈海复线;1.3072934321553927E7;2792546.242520746""}]",
112,133398,K13+700,K14+500,旗山收费站-永泰葛岭收费站,80.0,2016-07-23 07:52:55,14,2016-07-23 07:50:55,,,,,,2,1:福建高速公路,1469231455000,0,S35|S35线沈海复线,,,"119.157 ,25.9133",4,S35线沈海复线福永段福州往永泰方向K13+700—K14+500（过旗山收费所约7公里）正在养护施工，占用应急车道、主车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,133398,"[{""navids"":""87823440;87823436;87823433;87823432"";""directions"":""3;2;3;3""};{""navids"":""87823431;87823434;87823438;87823442"";""directions"":""2;2;2;2""}]","[{""id-name-alias-dir"":""87823436;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13263480;2969729;16&tip=匹配点距离1.5213097947973204;1.3263480200644888E7;2969729.3477224745;事件点133398-S35|S35线沈海复线;1.3264095394922355E7;2969861.7372221677""};{""id-name-alias-dir"":""87823438;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13263499;2969700;16&tip=匹配点距离30.505021493721777;1.3263499982821688E7;2969700.6113292454;事件点133398-S35|S35线沈海复线;1.3264095394922355E7;2969861.7372221677""}]",
113,133282,K70+300,K70,南靖丰田收费站-天宝枢纽,30.0,2016-07-21 19:20:43,14,2016-07-21 19:18:40,,,,,,2,1:福建高速公路,1469099920000,0,G76|厦蓉高速,,,"117.473 ,24.648",4,G76线厦蓉高速漳州段龙岩往漳州方向B K70+300至K70处（过南靖丰田收费所约2公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,133282,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""};{""navids"":""671248;669760;669761"";""directions"":""2;2;2""}]","[{""id-name-alias-dir"":""14947565;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13077165;2814693;16&tip=匹配点距离40.21971811658052;1.3077165686103767E7;2814693.8281153794;事件点133282-G76|厦蓉高速;1.3076614340913909E7;2814926.232585664""};{""id-name-alias-dir"":""669760;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13075487;2815117;16&tip=匹配点距离743.8611071476568;1.307548798140415E7;2815117.9759267652;事件点133282-G76|厦蓉高速;1.3076614340913909E7;2814926.232585664""}]",
114,133281,K70,K70+300,天宝枢纽-南靖丰田收费站,30.0,2016-07-21 19:19:13,14,2016-07-21 19:17:00,,,,,,2,1:福建高速公路,1469099820000,0,G76|厦蓉高速,,,"117.476 ,24.6469",4,G76线厦蓉高速漳州段漳州往龙岩方向AK70至K70+300处（过南靖丰田收费所约2公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,133281,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""}]","[{""id-name-alias-dir"":""14947565;厦蓉高速公路;漳龙高速公路|G76;2"";""url"":""http://map.sogou.com/#c=13077165;2814693;16&tip=匹配点距离7.45593137897235;1.3077165686103767E7;2814693.8281153794;事件点133281-G76|厦蓉高速;1.3076949107359242E7;2814793.0895655714""}]",
