id,link_info(json格式[{"navids":"id;id";"directions":"dir;dir"},{"navids":"id;id";"directions":"dir;dir"}]),额外信息(json格式[{"id-name-alias-dir":"id;name;alias;dir";"url":"sogouurl"};{"id-name-alias-dir":"id;name;alias;dir";"url":"sogouurl"}])
153679,[{"navids":"878452;878453;876947;876981;14726717";"directions":"2;2;2;2;2"};{"navids":"876980;876979;876948;878455;14726720";"directions":"3;3;2;3;3"}],[{"id-name-alias-dir":"876947;福州绕城高速公路;潘渡隧道|G1501;2";"url":"http://map.sogou.com/#c=13296093;3010048;16&tip=匹配点距离18.459505126383384;1.3296093475268511E7;3010048.9662954984;事件点153679-G1501|福州绕城高速;1.3296267748470962E7;3010144.0118631218"};{"id-name-alias-dir":"876948;福州绕城高速公路;潘渡隧道|G1501;2";"url":"http://map.sogou.com/#c=13296108;3010008;16&tip=匹配点距离61.463952694741664;1.3296108065500475E7;3010008.211102963;事件点153679-G1501|福州绕城高速;1.3296267748470962E7;3010144.0118631218"}]
132857,[{"navids":"85168466;85413510;85413509;85413505;85413501;85413499";"directions":"3;3;2;3;3;3"};{"navids":"85413497;85413503;85413507;85413511;85413512;85168474";"directions":"2;2;2;2;2;2"}],[{"id-name-alias-dir":"85413509;长深高速公路;G25;2";"url":"http://map.sogou.com/#c=13190093;3112410;16&tip=匹配点距离9.680253993210528;1.31900939314483E7;3112410.7514378713;事件点132857-G25|长深高速;1.3190517239682965E7;3112644.9469053634"};{"id-name-alias-dir":"85413511;长深高速公路;G25;2";"url":"http://map.sogou.com/#c=13189880;3112398;16&tip=匹配点距离27.84941763776396;1.3189880854172677E7;3112398.746745444;事件点132857-G25|长深高速;1.3190517239682965E7;3112644.9469053634"}]
132859,[{"navids":"85168466;85413510;85413509;85413505;85413501;85413499";"directions":"3;3;2;3;3;3"};{"navids":"85413497;85413503;85413507;85413511;85413512;85168474";"directions":"2;2;2;2;2;2"}],[{"id-name-alias-dir":"85413509;长深高速公路;G25;2";"url":"http://map.sogou.com/#c=13190093;3112410;16&tip=匹配点距离17.11215431839777;1.31900939314483E7;3112410.7514378713;事件点132859-G25|长深高速;1.3190517240376506E7;3112632.5158995953"};{"id-name-alias-dir":"85413511;长深高速公路;G25;2";"url":"http://map.sogou.com/#c=13189880;3112398;16&tip=匹配点距离35.28282082126746;1.3189880854172677E7;3112398.746745444;事件点132859-G25|长深高速;1.3190517240376506E7;3112632.5158995953"}]
126566,[{"navids":"57867766;57867767;57867765;57867760";"directions":"2;2;2;2"};{"navids":"57867759;57867762;57867763;57867753;57867749";"directions":"2;2;2;2;2"}],[{"id-name-alias-dir":"57867765;宁光高速公路;S10;2";"url":"http://map.sogou.com/#c=13117588;3078377;16&tip=匹配点距离14.553312519248683;1.3117588197954636E7;3078377.2242904636;事件点126566-S10|宁光高速;1.3117593049032692E7;3078295.0672383136"};{"id-name-alias-dir":"57867763;宁光高速公路;S10;2";"url":"http://map.sogou.com/#c=13118989;3077011;16&tip=匹配点距离47.88188820617068;1.3118989086126437E7;3077011.206898233;事件点126566-S10|宁光高速;1.3117593049032692E7;3078295.0672383136"}]
150674,[{"navids":"57477249;57477416;57477415;57477258";"directions":"3;3;2;3"};{"navids":"57477264;57477263;57477259;57477436;57477435;57477252";"directions":"3;3;2;3;3;3"}],[{"id-name-alias-dir":"57477415;京台高速公路;G3;2";"url":"http://map.sogou.com/#c=13203904;3056925;16&tip=匹配点距离10.284783021759264;1.3203904575368699E7;3056925.14571483;事件点150674-G3|京台高速;1.3203906792184906E7;3056935.668438388"};{"id-name-alias-dir":"57477259;京台高速公路;G3|碗厂隧道;2";"url":"http://map.sogou.com/#c=13202984;3056797;16&tip=匹配点距离50.681021861273926;1.320298424259655E7;3056797.3212249903;事件点150674-G3|京台高速;1.3203906792184906E7;3056935.668438388"}]
151244,[{"navids":"95252592;95252693;95252692";"directions":"3;2;3"};{"navids":"95252704;95252705;95252590";"directions":"2;2;2"}],[{"id-name-alias-dir":"95252693;福诏高速公路;S35;2";"url":"http://map.sogou.com/#c=13191917;2879361;16&tip=匹配点距离4.636732248289213;1.3191917035962801E7;2879361.6770911296;事件点151244-S35|S35线沈海复线;1.3192097377124341E7;2879379.470853543"};{"id-name-alias-dir":"95252705;福诏高速公路;S35;2";"url":"http://map.sogou.com/#c=13191905;2879385;16&tip=匹配点距离18.04238279880392;1.3191905235263182E7;2879385.831193784;事件点151244-S35|S35线沈海复线;1.3192097377124341E7;2879379.470853543"}]
151088,[{"navids":"14666785;14666787";"directions":"2;3"};{"navids":"669736;669738";"directions":"2;2"}],[{"id-name-alias-dir":"14666785;厦蓉高速公路;漳龙高速公路|G76;2";"url":"http://map.sogou.com/#c=13070399;2821424;16&tip=匹配点距离10.735922637613294;1.3070399930077448E7;2821424.216157269;事件点151088-G76|厦蓉高速;1.307282148528895E7;2817890.1011049757"};{"id-name-alias-dir":"669736;厦蓉高速公路;漳龙高速公路|G76;2";"url":"http://map.sogou.com/#c=13073670;2816981;16&tip=匹配点距离922.5286022433987;1.3073670128961112E7;2816981.032527793;事件点151088-G76|厦蓉高速;1.307282148528895E7;2817890.1011049757"}]
151087,[{"navids":"14666785;14666787";"directions":"2;3"}],[{"id-name-alias-dir":"14666785;厦蓉高速公路;漳龙高速公路|G76;2";"url":"http://map.sogou.com/#c=13070399;2821424;16&tip=匹配点距离40.58412384253144;1.3070399930077448E7;2821424.216157269;事件点151087-G76|厦蓉高速;1.3070146908464108E7;2822663.1809042217"}]
154251,[{"navids":"14943654;14943690;14943691";"directions":"2;2;2"};{"navids":"14943702;14943688;14943658";"directions":"3;2;3"}],[{"id-name-alias-dir":"14943690;莆永高速公路;S10;2";"url":"http://map.sogou.com/#c=13180699;2902484;16&tip=匹配点距离11.588644827530585;1.3180699724244235E7;2902484.0360924485;事件点154251-S12|莆永高速;1.3180046542776749E7;2901930.554543178"};{"id-name-alias-dir":"14943688;莆永高速公路;S10;2";"url":"http://map.sogou.com/#c=13180691;2902507;16&tip=匹配点距离15.40188420565547;1.3180691387922132E7;2902507.3795807473;事件点154251-S12|莆永高速;1.3180046542776749E7;2901930.554543178"}]
151086,[{"navids":"14666785;14666787";"directions":"2;3"}],[{"id-name-alias-dir":"14666785;厦蓉高速公路;漳龙高速公路|G76;2";"url":"http://map.sogou.com/#c=13070399;2821424;16&tip=匹配点距离27.906423027057638;1.3070399930077448E7;2821424.216157269;事件点151086-G76|厦蓉高速;1.3070592933173928E7;2822188.731363771"}]
154252,[{"navids":"12886128;12886129;12838290;12838115;12838119;12838293";"directions":"2;2;2;2;2;2"};{"navids":"12838414;12838117;12838113;12886127;12886126;12838287";"directions":"3;3;3;2;3;3"}],[{"id-name-alias-dir":"12838290;宁上高速公路;G1514|仙岩隧道;2";"url":"http://map.sogou.com/#c=13236393;3128526;16&tip=匹配点距离147.59685490174425;1.32363930255366E7;3128526.3607765087;事件点154252-G1514|宁上高速;1.3236072721261684E7;3128790.386075763"};{"id-name-alias-dir":"12886127;宁上高速公路;G1514|仙岩隧道;2";"url":"http://map.sogou.com/#c=13236383;3128489;16&tip=匹配点距离182.74726632806028;1.3236383609048523E7;3128489.627967193;事件点154252-G1514|宁上高速;1.3236072721261684E7;3128790.386075763"}]
