spider_oid,loc_name,ref_point,ref_point_type,spider_dist,zdirection
126566,S10|宁光高速,"117.841 ,26.7903",4,0.0,峡阳收费站-顺昌收费站
132859,G25|长深高速,"118.496 ,27.067",4,0.0,建瓯枢纽-建瓯东峰收费站
123260,S10|宁光高速,"117.43 ,27.4232",4,750.0,邵武水北收费站-光泽收费站
150445,G15|沈海高速,"119.798 ,26.8415",4,45.0,湾坞枢纽-盐田收费站
153254,G15|沈海高速,"118.107 ,24.6542",4,0.0,同安收费站-厦门枢纽
153383,S35|S35线沈海复线,"118.212 ,25.1426",4,700.0,旗山收费站-永泰葛岭收费站
151035,G15|沈海高速,"120.239 ,27.0571",4,0.0,柏洋收费站-牙城收费站
153142,G1514|宁上高速,"118.594 ,27.3943",4,0.0,回龙收费站-范屯枢纽
153057,S0311|浦建高速,"117.306 ,27.1312",4,60.0,邵武西收费站-和平收费站
152913,S0311|浦建高速,"117.986 ,27.5195",4,1900.0,下坝枢纽-十里排枢纽
152081,S35|S35线沈海复线,"117.464 ,24.5111",4,0.0,旗山收费站-永泰葛岭收费站
152849,G72|泉南高速,"118.381 ,25.1576",4,0.0,亭川枢纽-码头收费站
111212,S0311|浦建高速,"116.965 ,26.8887",4,4550.0,寨下收费站-建宁收费站
151244,S35|S35线沈海复线,"118.51 ,25.176",4,100.0,梅山收费站-乐峰收费站
111211,S0311|浦建高速,"116.924 ,26.8699",4,4000.0,建宁收费站-寨下收费站
123021,G72|泉南高速,"116.527 ,26.2619",4,0.0,宁化收费站-石壁收费站
152567,X051|,"118.2 ,25.4506",4,0.0,汤城枢纽-德化收费站
152550,S35|S35线沈海复线,"118.754 ,25.7181",4,200.0,永泰梧桐收费站-五星枢纽
152203,G76|厦蓉高速,"117.396 ,24.7256",4,30.0,南靖丰田收费站-金山收费站
151676,S12|莆永高速,"118.036 ,25.2528",4,-1.0,安溪剑斗收费站-安溪湖头收费站
151542,G76|厦蓉高速,"117.429 ,24.6842",4,20.0,南靖丰田收费站-金山收费站
151541,G76|厦蓉高速,"117.429 ,24.6842",4,20.0,南靖丰田收费站-金山收费站
151505,S0311|浦建高速,"117.302 ,27.1283",4,100.0,肖家坊枢纽-和平收费站
151088,G76|厦蓉高速,"117.439 ,24.6724",4,20.0,金山收费站-南靖丰田收费站
151086,G76|厦蓉高速,"117.419 ,24.7077",4,60.0,南靖丰田收费站-金山收费站
151087,G76|厦蓉高速,"117.415 ,24.7116",4,60.0,金山收费站-南靖丰田收费站
151012,、S30厦沙高速厦门段厦门往安溪方向K27+350处（过凤南收费站约14公里）正在养护施工，占用第二、应急车道，请途经车辆谨慎驾驶，提前减速。|,"118.074 ,24.8072",4,0.0,云埔枢纽-安溪龙门收费站
129947,G25|长深高速,"118.334 ,27.0147",4,0.0,南雅收费站-弓鱼枢纽
150511,G76|厦蓉高速,"117.548 ,24.627",4,40.0,南靖丰田收费站-天宝枢纽
134449,G76|厦蓉高速,"117.556 ,24.625",4,40.0,天宝枢纽-南靖丰田收费站
133724,G76|厦蓉高速,"117.414 ,24.7128",4,30.0,南靖丰田收费站-金山收费站
133722,G76|厦蓉高速,"117.45 ,24.6622",4,20.0,南靖丰田收费站-金山收费站
133263,S35|S35线沈海复线,"117.44 ,24.4642",4,0.0,永泰东收费站-永泰葛岭收费站
133398,S35|S35线沈海复线,"119.157 ,25.9133",4,80.0,旗山收费站-永泰葛岭收费站
133282,G76|厦蓉高速,"117.473 ,24.648",4,30.0,南靖丰田收费站-天宝枢纽
133281,G76|厦蓉高速,"117.476 ,24.6469",4,30.0,天宝枢纽-南靖丰田收费站
133114,S35|S35线沈海复线,"119.109 ,25.8995",4,0.0,旗山收费站-永泰葛岭收费站
133112,S35|S35线沈海复线,"118.908 ,25.7297",4,0.0,永泰葛岭收费站-旗山收费站
132895,G76|厦蓉高速,"117.441 ,24.6693",4,40.0,金山收费站-南靖丰田收费站
132857,G25|长深高速,"118.496 ,27.0671",4,0.0,建瓯东峰收费站-建瓯枢纽
132296,G76|厦蓉高速,"117.448 ,24.6633",4,20.0,金山收费站-南靖丰田收费站
132297,G76|厦蓉高速,"117.457 ,24.6514",4,40.0,南靖丰田收费站-天宝枢纽
132289,S35|S35线沈海复线,"119.147 ,25.9111",4,0.0,旗山收费站-永泰葛岭收费站
132291,S35|S35线沈海复线,"119.147 ,25.911",4,0.0,永泰葛岭收费站-旗山收费站
132022,G76|厦蓉高速,"117.409 ,24.715",4,30.0,金山收费站-南靖丰田收费站
132011,G25|长深高速,"118.267 ,26.7974",4,0.0,大横收费站-南雅收费站
130619,G76|厦蓉高速,"117.394 ,24.7271",4,40.0,金山收费站-南靖丰田收费站
130511,接养护中心通知：G15W3|,"119.605 ,26.4818",4,0.0,罗源湾收费站-飞鸾枢纽
129558,S12|莆永高速,"-1 ,-1",4,0.0,永春湖洋收费站-仙游大济收费站
129559,S12|莆永高速,"-1 ,-1",4,0.0,永春湖洋收费站-仙游大济收费站
129344,G76|厦蓉高速,"117.106 ,24.967",4,0.0,龙岩收费站-适中收费站
129126,S1511福寿|（G4012）溧宁高速,"-1 ,-1",4,-1.0,寿宁收费站-寿宁斜滩收费站
128352,G76|厦蓉高速,"117.454 ,24.6548",4,50.0,南靖丰田收费站-金山收费站
116017,S35|S35线沈海复线,"119.083 ,25.8975",4,-1.0,旗山收费站-永泰葛岭收费站
