,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,"link_info(json格式[{""navids"":""id;id"";""directions"":""dir;dir""}","额外信息(json格式[{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""};{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""}])"
60,,2,1:福建高速公路,1474330727000,0,G25|长深高速,,,"116.734 ,25.6423",4,G25线长深高速连城段梅州往三明方向K3125+500（距连城收费站约3公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""49383484;49383485;49383481"";""directions"":""2;2;2""};{""navids"":""49383479;49383483;49383482"";""directions"":""2;3;3""}]",
61,,2,1:福建高速公路,1474326845000,0,S12|莆永高速,,,"118.334 ,25.2957",4,S12线莆永高速泉州段莆田往龙岩方向K107+900处(距永春东收费站约1公里)，正在养护施工，占用主车道、紧急停车带，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""14943596;14943577;14943591;14943590;14943587;14943586"";""directions"":""3;3;3;3;2;3""};{""navids"":""14943554;14943555;14943556;14943588;14943589;14943592;14943594"";""directions"":""2;2;2;2;2;2;2""}]",
62,,2,1:福建高速公路,1474270021000,0,G25|长深高速,,,"116.716 ,25.5958",4,G25线长深高速连城段梅州往三明方向K3131+100-K3130+300处（过朋口收费站约7公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""12511821;848639;848638"";""directions"":""3;3;2""}]",
63,,2,1:福建高速公路,1474269485000,0,G15W3|G15W3线沈海复线,,,"119.607 ,26.4784",4,G15W3线沈海复线福州段BK159处（过罗源湾收费站约2公里）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""25888174;57954803;57954807;57954808;55018556;55018557"";""directions"":""2;2;2;2;2;2""};{""navids"":""57954809;57954810;55018558;57954805;57954806;25888175"";""directions"":""2;2;2;2;2;2""}]",
64,,2,1:福建高速公路,1474268507000,0,S0311|浦建高速,,,"117.413 ,27.1802",4,S0311线浦建高速邵武段麻沙往和平方向K194+100- K195+100处（距大埠岗服务区约2公里），正在养护施工，占用主车道和应急车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""852783;852782;852781;851351;851343"";""directions"":""3;3;2;3;3""};{""navids"":""54167541;12512040;851345"";""directions"":""2;2;2""}]",
65,,2,1:福建高速公路,1474252583000,0,G76|厦蓉高速,,,"117.887 ,24.5732",4,G76线厦蓉高速漳州段漳州往龙岩方向 K20+640至K24+030（天成山隧道，距天柱山收费站约8公里）正在养护施工，占用第二车道、第三车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""95002177;95002178;95002154"";""directions"":""2;2;2""};{""navids"":""95002156;95002180"";""directions"":""2;3""}]",
66,,2,1:福建高速公路,1474250103000,0,G72|泉南高速,,,"118.375 ,25.1696",4,G72线泉南高速泉州段三明往泉州方向K46+500处（过码头收费站约7公里）正在养护施工，占用紧急停车带，目前道路可正常通行，请途经车辆谨慎驾驶。,0,,,,,,"[{""navids"":""1355012"";""directions"":""2""};{""navids"":""14505397;14505398"";""directions"":""2;2""}]",
67,,2,1:福建高速公路,1474200064000,0,G15|沈海高速,,,"117.78 ,24.4647",4,G15线沈海高速厦漳漳州段漳州往广东方向K2341+500至K2342+000处（过漳州收费所约3公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""658822;49430119;49430123"";""directions"":""2;2;2""};{""navids"":""49430125;49430121;649491"";""directions"":""3;2;3""}]",
68,,2,1:福建高速公路,1474199366000,0,G15|沈海高速,,,"117.782 ,24.4586",4,G15线沈海高速厦漳漳州段广东往漳州方向K2342+200至K2341+500处（过龙海收费所约2公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""654057;40221752;40221751"";""directions"":""3;2;3""};{""navids"":""49430123;49430124;654055"";""directions"":""2;2;2""}]",
69,,2,1:福建高速公路,1474195627000,0,S35|褔诏高速,,,"117.437 ,24.4598",4,S35线褔诏高速漳州段平和往漳州方向K24+900至K23+700处（过三平收费所约4公里）正在养护施工，占用主车道和紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14943129;14943121;14943118;14943119;14943101"";""directions"":""2;2;2;2;2""};{""navids"":""14943102;14943110;14943111;14943122"";""directions"":""2;2;2;2""}]",
70,,2,1:福建高速公路,1474189143000,0,G76|厦蓉高速,,,"117.441 ,24.6702",4,G76线厦蓉高速漳州段漳州往龙岩方向K74+700至K75+000处（过南靖丰田收费所约2公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14666785;14666787"";""directions"":""2;3""};{""navids"":""669736;669738"";""directions"":""2;2""}]",
71,,2,1:福建高速公路,1474174760000,0,G76|厦蓉高速,,,"116.982 ,25.0946",4,G76线厦蓉高速漳龙路段长汀往龙岩方向K149-K144（距龙岩所9公里）正在养护施工，由于施工需要实行改道，长汀往龙岩方向K149-K144路段道路封闭，龙岩往长汀方向K149-K144路段道路双向通行，预计9月29日解除。,0,,,,,,"[{""navids"":""87967429;12544165;1266932;1266919;1259199;14666813;14666814;49383269;49383270;1253106;1262282;1262283"";""directions"":""3;3;3;3;2;2;2;2;2;2;2;2""};{""navids"":""1262281;49383268;49383267;1253105;1262287;1262286;1259198;1266928;1266929;49383273;87967505;87967506;12544190"";""directions"":""3;2;3;3;3;3;3;2;2;2;2;2;2""}]",
