,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,"link_info(json格式[{""navids"":""id;id"";""directions"":""dir;dir""}","额外信息(json格式[{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""};{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""}])"
120,,2,1:福建高速公路,1468226139000,0,S35|S35线沈海复线,,,"119.147 ,25.9111",4,S35线沈海复线福永段福州往仙游方向K18（距葛岭收费站约4公里，门前山隧道A道出口处）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""87823448;87823446;87823440;87823436;87823433;87823432;87823428"";""directions"":""3;3;3;2;3;3;3""};{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""}]",
121,,2,1:福建高速公路,1468226120000,0,S35|S35线沈海复线,,,"119.147 ,25.911",4,S35线沈海复线福永段仙游往福州方向K18（过葛岭收费站4公里，门前山隧道入口处）正在养护施工，占用主车道和慢车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""87823448;87823446;87823440;87823436;87823433;87823432;87823428"";""directions"":""3;3;3;2;3;3;3""};{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""}]",
122,,2,1:福建高速公路,1467965211000,0,G76|厦蓉高速,,,"117.409 ,24.715",4,G76线厦蓉高速漳州段龙岩往漳州方向K80+700至K80+400处（距南靖丰田收费所约8公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]",
123,,2,1:福建高速公路,1467954279000,0,G25|长深高速,,,"118.267 ,26.7974",4,G25线长深高速延平段南平往建瓯方向K2892+100处（过大横收费站约1公里），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""1011199;69098635;69098639;69098643;69098647;69098646"";""directions"":""3;2;3;3;3;3""};{""navids"":""69098680;69098681;1011200"";""directions"":""2;2;2""}]",
124,,2,1:福建高速公路,1466745691000,0,G76|厦蓉高速,,,"117.394 ,24.7271",4,G76线厦蓉高速漳州段龙岩往漳州方向K82+900至K82+500处(过金山收费所约8公里)正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]",
125,,2,1:福建高速公路,1466646250000,0,接养护中心通知：G15W3|,,,"119.605 ,26.4818",4,接养护中心通知：G15W3线沈海复线福州段福州往宁德方向K159+150（过罗源湾收费站约2公里）正在养护施工，占用紧急停车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""25888174;57954803;57954807"";""directions"":""2;2;2""};{""navids"":""57954809;57954810;55018558;57954805;57954806;25888175"";""directions"":""2;2;2;2;2;2""}]",
126,,2,1:福建高速公路,1465721935000,0,G76|厦蓉高速,,,"117.106 ,24.967",4,G76线厦蓉高速漳龙段龙岩往漳州方向K127（后祠隧道）进行养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶、提前减速。,0,,,,,,"[{""navids"":""1189645;1189648;49383249;49383250;1188097;1188128;1188130;1189596;1189599;1189665"";""directions"":""2;2;2;2;2;2;2;2;2;2""};{""navids"":""1189670;1189669;1188126;49383248;49383247;1189641;1189606;1188095;1189608;1189651"";""directions"":""3;3;3;3;3;3;3;2;3;3""}]",
127,,2,1:福建高速公路,1464765028000,0,G76|厦蓉高速,,,"117.454 ,24.6548",4,G76线厦蓉高速漳州段漳州往龙岩方向K72+500至K73处（过南靖丰田收费所约1公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""671252;669742;669741"";""directions"":""3;2;3""};{""navids"":""669743;669744;671251"";""directions"":""2;2;2""}]",
128,,2,1:福建高速公路,1450839841000,0,S35|S35线沈海复线,,,"119.083 ,25.8975",4,S35线沈海复线福永段A道葛岭互通匝道正在养护施工，现实行临时交通管制：福州往葛岭收费站车辆请从旗山收费站、永泰东收费站下高速绕行；葛岭收费站入口往永泰、仙游方向车辆禁止通行,0,,,,,,"[{""navids"":""87823368;87823379;87823378"";""directions"":""3;2;3""};{""navids"":""87823377;87823380;87823382"";""directions"":""2;2;2""}]",
