spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info
K1095-K1080-K1077-K1061-G2,K1077,K1080,下行,3.0,2016-08-18 05:50:28,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 05:28:00,2016-08-18 17:00:00,,,,,2,江苏省交通运输厅,1471469280000,1471510800000,G2K1061至K1095|,,,"120.316512,31.779483",1,上海方向K1077至K1080中国移动光缆接续施工，占用1车道。,1,,,,-1,,
K399-K323-G40,K323,K399,双向,,2016-08-18 03:31:36,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 03:15:00,2016-08-18 12:00:00,,,,,1,江苏省交通运输厅,1471461300000,1471492800000,G40K323至K399|,,,"119.458111,32.360094",1,汤汪站出口超宽道设备故障，超宽车无法下高速。,1,,,,-1,,
K971-K860-G2,K935,K935,上行,0.0,2016-08-18 01:52:33,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 01:25:00,2016-08-18 11:00:00,,,,,1,江苏省交通运输厅,1471454700000,1471489200000,G2K860至K971|,,,"119.524047,32.722588",1,京沪高速扬州段上海往北京方向K935处发生两货车追尾事故，现场交通临时中断，目前事故正在处理中。 1：37，因处置需要，江都东至八桥站往北京方向入口关闭。,1,,,,-1,,
K2190-K2050-G25,K2083,K2083,上行,0.0,2016-08-18 01:01:28,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 00:40:00,2016-08-18 02:00:00,,,,,1,江苏省交通运输厅,1471452000000,1471456800000,G25K2050至K2190|,,,"119.047445,31.697054",1,杭州往南京方向K2083（过溧水东收费站3公里）处发生一起货车（运输货物为搅拌车）冲入高速边沟事故，有人卡在车内，暂不影响通行。,1,,,,-1,,
K844-K1165-G15,K1134,K1134,下行,0.0,2016-08-18 00:16:33,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-17 23:05:00,2016-08-18 04:00:00,,,,,1,江苏省交通运输厅,1471446300000,1471464000000,G15K844至K1165|,,,"120.753547,32.312327",1,"连通K1134,三辆货车追尾，其中一辆为装载桶装危化品溴乙烷（微毒液体）的危险品车，有四桶掉落并少量泄露。占据第二、第三、和应急车道，一人受伤。",1,,,,-1,,
S229-158K-1588K,158K,158.8K,上行,0.8000000000000114,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-17 16:00:00,2016-08-18 09:00:00,,,,,2,江苏省交通运输厅,1471420800000,1471482000000,盐锡线|S229,,,"-1,-1",1,"因养护施工,盐锡线[S229],上行[北栅口方向],158K至158.8K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月17日,预计恢复时间2016年08月18日 09时。",1,,,,-1,,
K399-K323-G40,K392+763,K392+763,下行,0.0,2016-08-17 08:43:36,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-17 08:15:00,2016-08-18 10:00:00,,,,,2,江苏省交通运输厅,1471392900000,1471485600000,G40K323至K399|,,,"118.943797,32.352551",1,K392+763--K392+713 施工占用第一、二、三车道，夜间设备占用第三、应急车道。,1,,,,-1,,
K971-K860-G2,K860,K971,双向,,2016-08-17 08:03:46,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-17 07:40:00,2016-10-20 18:00:00,,,,,2,江苏省交通运输厅,1471390800000,1476957600000,G2K860至K971|,,,"119.288293,33.356365",1,泾河收费站出口超宽道施工封闭，超宽车辆需绕行。,1,,,,-1,,
S231-122601K-1205K,120.5K,122.601K,上行,2.100999999999999,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-17 07:30:00,2016-08-23 18:00:00,,,,,2,江苏省交通运输厅,1471390200000,1471946400000,阜扬线|S231,,,"119.900124,32.727584",1,"因养护施工,阜扬线[S231],上行[建设村方向],120.5K至122.601K,目前行驶缓慢,采取限速行驶的措施,请谨慎驾驶。开始时间2016年08月17日,预计恢复时间2016年08月23日 18时。",1,,,,-1,,
S28-K261-K241400-K239800-K226,K241+400,K239+800,下行,1.5999999999999943,2016-08-17 06:19:37,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-17 06:00:00,2016-08-18 10:00:00,,,,,2,江苏省交通运输厅,1471384800000,1471485600000,S28K226至K261|,,,"119.445294,32.469074",1,K241+400-K239+800路面维修，白天（06：00-19：00）施工占用快车道和慢车道，夜间占用快车道。,1,,,,-1,,
S264-196K-186K,186K,196K,双向,10.0,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-16 10:00:00,2016-08-22 18:00:00,,,,,2,江苏省交通运输厅,1471312800000,1471860000000,东大线|S264,,,"-1,-1",1,"因养护施工,东大线[S264],双向,186K至196K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月16日,预计恢复时间2016年08月22日 18时。",1,,,,-1,,
S328-84K-842K,84K,84.2K,下行,0.20000000000000284,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-16 08:30:00,2016-08-29 09:00:00,,,,,2,江苏省交通运输厅,1471307400000,1472432400000,扁洪线|S328,,,"119.551544,33.720216",1,"因养护施工,扁洪线[S328],下行[扁担港方向],84K至84.2K,目前阻断,采取中断单向交通的措施,请选择其它线路绕行。开始时间2016年08月16日,预计恢复时间2016年08月29日 09时。",1,,,,-1,,
K971-K860-G2,K860,K971,双向,,2016-08-16 05:56:37,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-16 05:10:00,2016-09-08 23:59:00,,,,,1,江苏省交通运输厅,1471295400000,1473350340000,G2K860至K971|,,,"119.503493,32.773614",1,龙奔服务区因加油站改造施工，龙奔服务区双向停止供油。,1,,,,-1,,
S124-277K-14K,14K,277K,双向,263.0,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-15 16:07:43,2016-11-10 23:45:00,,,,,2,江苏省交通运输厅,1471248463000,1478792700000,宁乌线|S124,,,"-1,-1",1,"因养护施工,宁乌线[S124],双向,14K至277K,目前阻断,采取中断双向交通的措施,请选择其它线路绕行。开始时间2016年08月15日,预计恢复时间2016年11月10日 23时。",1,,,,-1,,
S237-1463K-1407K,140.7K,146.3K,双向,5.600000000000023,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-15 09:30:00,2016-08-31 18:00:00,,,,,2,江苏省交通运输厅,1471224600000,1472637600000,淮江线|S237,,,"119.519415,32.504467",1,"因养护施工,淮江线[S237],双向,140.7K至146.3K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月15日,预计恢复时间2016年08月31日 18时。",1,,,,-1,,
S244-31K-13K,13K,31K,双向,18.0,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-15 08:00:00,2016-08-30 18:00:00,,,,,2,江苏省交通运输厅,1471219200000,1472551200000,天扬线|S244,,,"119.345041,32.473184",1,"因养护施工,天扬线[S244],双向,13K至31K,目前行驶缓慢,采取限速行驶的措施,请谨慎驾驶。开始时间2016年08月15日,预计恢复时间2016年08月30日 18时。",1,,,,-1,,
S264-114K-1052K,105.2K,114K,双向,8.799999999999997,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-15 07:30:00,2016-08-19 17:30:00,,,,,2,江苏省交通运输厅,1471217400000,1471599000000,东大线|S264,,,"-1,-1",1,"因养护施工,东大线[S264],双向,105.2K至114K,目前行驶缓慢,采取限速行驶的措施,请谨慎驾驶。开始时间2016年08月15日,预计恢复时间2016年08月19日 17时。",1,,,,-1,,
