spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info,eventid,deleted
126566,K91+232,K91+232,峡阳收费站-顺昌收费站,0.0,2016-05-14 11:20:17,14,2016-07-13 11:27:35,,,,,,2,福建高速公路,1468380455000,0,S10|宁光高速,,,"117.841 ,26.7903",4,S10线宁光高速顺昌段南平往顺昌方向K91+232处（距顺昌收费站约2公里，顺昌1#隧道口），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
126939,K2308+300,K2308+300,厦门收费站-杏林收费站,0.0,2016-05-18 10:26:22,14,2016-05-18 10:22:08,,,,,,2,福建高速公路,1463538128000,0,G15|沈海高速,,,"118.052 ,24.6107",4,G15线沈海高速泉厦厦门段福州往厦门方向K2308+300处（过厦门收费站约3公里）因地铁施工影响高速通行，现布控第三、四、应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
127115,K1994+869,K1994+869,飞鸾枢纽-飞鸾岭收费站,0.0,2016-05-20 08:27:30,14,2016-05-20 13:15:39,,,,,,2,福建高速公路,1463721339000,0,G15|沈海高速,,,"119.602 ,26.5836",4,G15线沈海高速罗宁路段飞鸾征管所（K1994+869）因新建岗亭施工，需关闭出入口ETC车道，预计恢复时间为2016年8月20日。,0,,,,,,,,
127882,K21+550,K22+500,旗山收费站-永泰葛岭收费站,950.0,2016-05-27 12:45:02,14,2016-05-27 12:41:00,,,,,,2,福建高速公路,1464324060000,0,S35|S35线沈海复线,,,"119.083 ,25.8975",4,S35线沈海复线福永段葛岭互通K21+550-K22+500处正在养护施工，现实行临时交通管制：封闭期间禁止车辆通行，预计管制时间为12：42-13：00，请途经车辆注意绕行。,0,,,,,,,,
128010,K243,K243,雁石收费站-苏坂收费站,0.0,2016-05-28 23:29:29,14,2016-05-28 23:24:45,,,,,,2,福建高速公路,1464449085000,0,S12|莆永高速,,,"-1 ,-1",4,S12线莆永高速漳平段永定往永春方向K243处（过雁石收费约1公里）正在养护施工，占用主车道，该路段目前改道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
128244,K33,K30,南靖靖城收费站-漳州南收费站,3000.0,2016-05-31 08:20:46,14,2016-05-31 08:16:42,,,,,,2,福建高速公路,1464653802000,0,S1525漳州南连接|,,,"117.606 ,24.4699",4,S1525漳州南连接线靖城往龙海方向K33至K30处（距漳州南收费所约4公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
128352,K72+500,K73,南靖丰田收费站-金山收费站,500.0,2016-06-01 15:15:06,14,2016-06-01 15:10:28,,,,,,2,福建高速公路,1464765028000,0,G76|厦蓉高速,,,"117.454 ,24.6548",4,G76线厦蓉高速漳州段漳州往龙岩方向K72+500至K73处（过南靖丰田收费所约1公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
129310,k6.65,k21.53,旗山收费站-永泰葛岭收费站,-1.0,2016-06-12 13:06:05,14,2016-06-12 15:35:52,,,,,,2,福建高速公路,1465716952000,0,S35|S35线沈海复线,,,"119.083 ,25.8975",4,S35线沈海复线福永段福州往仙游方向葛岭互通匝道正在养护施工，现实行临时交通管制：福州往葛岭收费站车辆请从旗山收费站、永泰东收费站下高速绕行；葛岭收费站入口往永泰、仙游方向车辆禁止通行。,0,,,,,,,,
129344,K127,K127,龙岩收费站-适中收费站,0.0,2016-06-12 17:23:46,14,2016-06-12 16:58:55,,,,,,2,福建高速公路,1465721935000,0,G76|厦蓉高速,,,"117.106 ,24.967",4,G76线厦蓉高速漳龙段龙岩往漳州方向K127（后祠隧道）进行养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶、提前减速。,0,,,,,,,,
129947,K2864,K2864,南雅收费站-弓鱼枢纽,0.0,2016-06-17 15:25:44,14,2016-08-15 16:56:24,,,,,,2,福建高速公路,1471251384000,0,G25|长深高速,,,"118.334 ,27.0147",4,G25线长深高速建瓯段南平往建瓯方向K2864处（过小桥服务区约7公里），发生地质灾害，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
